 Nascidos vivos - São Paulo
Nascim p/resid.mãe por Município e Idade da mãe
Idade da mãe: Menor de 10 anos, 10 a 14 anos, 15 a 19 anos
Período:2014
"Município";"10 a 14 anos";"15 a 19 anos";"Total"
"353420 Orindiúva";-;9;9
"353430 Orlândia";1;66;67
"353440 Osasco";63;1357;1420
"353450 Oscar Bressane";-;3;3
"353460 Osvaldo Cruz";3;60;63
"353470 Ourinhos";7;220;227
"353480 Ouro Verde";1;15;16
"353475 Ouroeste";-;21;21
"353490 Pacaembu";1;21;22
"353500 Palestina";3;17;20
"353510 Palmares Paulista";1;23;24
"353520 Palmeira d'Oeste";1;16;17
"353530 Palmital";3;47;50
"353540 Panorama";3;62;65
"353550 Paraguaçu Paulista";4;106;110
"353560 Paraibuna";-;34;34
"353570 Paraíso";-;8;8
"353580 Paranapanema";1;66;67
"353590 Paranapuã";1;11;12
"353600 Parapuã";-;25;25
"353610 Pardinho";-;18;18
"353620 Pariquera-Açu";2;56;58
"353625 Parisi";-;1;1
"353630 Patrocínio Paulista";2;48;50
"353640 Paulicéia";1;33;34
"353650 Paulínia";3;157;160
"353657 Paulistânia";-;4;4
"353660 Paulo de Faria";-;13;13
"353670 Pederneiras";8;137;145
"353680 Pedra Bela";1;13;14
"353690 Pedranópolis";-;3;3
"353700 Pedregulho";2;32;34
"353710 Pedreira";2;47;49
"353715 Pedrinhas Paulista";-;7;7
"353720 Pedro de Toledo";-;26;26
"353730 Penápolis";9;111;120
"353740 Pereira Barreto";6;72;78
"353750 Pereiras";-;25;25
"353760 Peruíbe";13;206;219
"353770 Piacatu";-;9;9
"353780 Piedade";4;125;129
"353790 Pilar do Sul";3;80;83
"353800 Pindamonhangaba";14;379;393
"353810 Pindorama";-;34;34
"353820 Pinhalzinho";1;26;27
"353830 Piquerobi";-;3;3
"353850 Piquete";2;30;32
"353860 Piracaia";2;56;58
"353870 Piracicaba";45;694;739
"353880 Piraju";5;44;49
"353890 Pirajuí";3;27;30
"353900 Pirangi";1;16;17
"353910 Pirapora do Bom Jesus";1;51;52
"353920 Pirapozinho";2;52;54
"353930 Pirassununga";5;103;108
"353940 Piratininga";2;23;25
"353950 Pitangueiras";8;88;96
"353960 Planalto";1;15;16
"353970 Platina";-;13;13
"353980 Poá";9;248;257
