 Nascidos vivos - São Paulo
Nascim p/resid.mãe por Município e Idade da mãe
Idade da mãe: Menor de 10 anos, 10 a 14 anos, 15 a 19 anos
Período:2015
"Município";"10 a 14 anos";"15 a 19 anos";"Total"
"355620 Valinhos";4;113;117
"355630 Valparaíso";5;64;69
"355635 Vargem";3;22;25
"355640 Vargem Grande do Sul";7;87;94
"355645 Vargem Grande Paulista";6;103;109
"355650 Várzea Paulista";6;264;270
"355660 Vera Cruz";-;24;24
"355670 Vinhedo";3;85;88
"355680 Viradouro";4;36;40
"355690 Vista Alegre do Alto";1;18;19
"355695 Vitória Brasil";-;5;5
"355700 Votorantim";6;220;226
"355710 Votuporanga";4;130;134
"355715 Zacarias";-;6;6
"350000 Município ignorado - SP";-;1;1
"Total";3187;84463;87650
 Fonte: MS/SVS/DASIS - Sistema de Informações sobre Nascidos Vivos - SINASC
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Nascidos Vivos, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Consolidação do Sistema de Informações sobre Nascidos Vivos - 2011".
 
 * A categorização da "Adequação quantitativa de pré-natal" mostrada na variável "Adeq quant pré-natal" considera o início do
 pré-natal no primeiro trimestre e um mínimo de seis consultas de pré-natal –, sendo gravada em campo chamado Kotelchuck no
 arquivo disponível para download, calculado a partir dos campos “33 – Número de consultas pré-natal” (Mesprenat) e “34 – Mês de gestação em que iniciou o pré-natal” (Consprenat).
 Maiores informações no documento "Saúde Brasil 2017: uma análise da situação de saúde e os desafios para o alcance dos Objetivos de Desenvolvi
 
