Município,Soma de Menor de 10 anos 2014,Soma de 10 a 14 anos 2014,Soma de 15 a 19 anos 2014,Soma de Menor de 10 anos 2015,Soma de 10 a 14 anos 2015,Soma de 15 a 19 anos 2015,Soma de Menor de 10 anos 2016,Soma de 10 a 14 anos 2016,Soma de 15 a 19 anos 2016
Potim,0,3,53,0,4,48,0,3,39
Potirendaba,0,0,29,0,3,28,0,1,34
Pracinha,0,0,2,0,0,4,0,0,1
Pradópolis,0,0,30,0,2,25,0,0,26
Praia Grande,0,19,601,0,25,639,0,25,602
Pratânia,0,0,21,0,2,18,0,0,15
Presidente Alves,0,0,8,0,0,8,0,1,8
Presidente Bernardes,0,0,15,0,0,16,0,0,14
Presidente Epitácio,0,1,89,0,0,96,0,1,98
Presidente Prudente,0,14,362,0,15,337,0,13,294
Presidente Venceslau,0,1,65,0,2,67,0,1,43
Promissão,0,3,79,0,2,86,0,1,74
Quadra,0,1,2,0,0,7,0,0,10
Quatá,0,2,28,0,1,29,0,1,23
Queiroz,0,0,4,0,0,7,0,2,9
Queluz,0,2,19,0,1,21,0,0,22
Quintana,0,0,14,0,0,13,0,2,11
Rafard,0,2,15,0,2,15,0,0,13
Rancharia,0,0,79,0,5,68,0,4,71
Redenção da Serra,0,0,9,0,0,5,0,0,10
Regente Feijó,0,1,31,0,1,37,0,0,29
Reginópolis,0,0,3,0,0,9,0,0,11
Registro,0,12,182,0,7,155,0,7,132
Restinga,0,0,16,0,0,15,0,0,18
Ribeira,0,1,14,0,0,9,0,0,6
Ribeirão Bonito,0,3,37,0,3,35,0,3,27
Ribeirão Branco,0,2,82,0,2,75,0,2,62
Ribeirão Corrente,0,0,15,0,1,6,0,0,6
Ribeirão do Sul,0,0,12,0,1,4,0,1,4
Ribeirão dos Índios,0,0,3,0,0,2,0,0,3
Ribeirão Grande,0,0,17,0,1,10,0,0,17
Ribeirão Pires,0,4,162,0,6,150,0,3,116
Ribeirão Preto,0,45,1008,0,36,901,0,41,756
Riversul,0,1,11,0,1,28,0,0,17
Rifaina,0,0,4,0,0,5,0,0,7
Rincão,0,0,22,0,1,18,0,1,14
Rinópolis,0,1,13,0,0,26,0,1,9
Rio Claro,0,12,339,0,15,335,0,18,329
Rio das Pedras,0,1,60,0,2,70,0,6,60
Rio Grande da Serra,0,4,92,0,3,94,0,4,99
Riolândia,0,1,28,0,1,36,0,2,28
Rosana,0,3,49,0,1,47,0,4,42
Roseira,0,2,18,0,1,23,0,0,19
Rubiácea,0,0,7,0,0,7,0,0,8
Rubinéia,0,0,4,0,0,3,0,0,5
Sabino,0,2,7,0,0,11,0,0,10
Sagres,0,0,8,0,0,5,0,0,8
Sales,0,0,7,0,0,9,0,1,8
Sales Oliveira,0,0,16,0,0,12,0,0,9
Salesópolis,0,0,30,0,0,39,0,0,26
Salmourão,0,2,15,0,0,12,0,1,15
Saltinho,0,0,7,0,0,10,0,0,7
Salto,0,8,201,0,9,209,0,4,190
Salto de Pirapora,0,4,119,0,5,94,0,4,105
Salto Grande,0,2,29,0,0,27,0,1,14
Sandovalina,0,0,9,0,1,13,0,1,8
Santa Adélia,0,2,23,0,0,31,0,1,35
Santa Albertina,0,1,13,0,0,13,0,0,9
Santa Bárbara d'Oeste,0,7,263,0,9,256,0,11,249
Santa Branca,0,0,23,0,0,27,0,0,36
Santa Clara d'Oeste,0,1,8,0,0,3,0,0,4
Santa Cruz da Conceição,0,0,3,0,0,8,0,0,3
Santa Cruz da Esperança,0,0,3,0,0,4,0,0,3
Santa Cruz das Palmeiras,0,6,78,0,1,72,0,4,55
Santa Cruz do Rio Pardo,0,5,107,0,5,92,0,1,85
Santa Ernestina,0,0,10,0,1,8,0,0,12
Santa Fé do Sul,0,3,44,0,3,40,0,1,48
Santa Gertrudes,0,2,59,0,2,60,0,3,44
Santa Isabel,0,4,125,0,5,114,0,7,95
Santa Lúcia,0,1,16,0,0,18,0,0,18
Santa Maria da Serra,0,1,19,0,0,20,0,0,14
Santa Mercedes,0,1,12,0,0,9,0,0,11
Santana da Ponte Pensa,0,0,2,0,0,0,0,0,1
Santana de Parnaíba,0,12,292,0,7,261,0,5,271
